outcome,term,event_time,coef,se,ci_low,ci_high,p_value,pretrend_pvalue
rate_impaired_per100k,evt_m5,-5,-0.5329990045181104,0.6899711594692902,-1.8853176274492616,0.8193196184130406,0.4398215356598003,0.0951192060026327
rate_impaired_per100k,evt_m4,-4,-0.9550434303044564,0.5948589920806712,-2.1209456306623693,0.2108587700534563,0.1083848044197612,0.0951192060026327
rate_impaired_per100k,evt_m3,-3,-0.9311313320441124,0.6555116737074956,-2.215910603956375,0.3536479398681504,0.1554723766430519,0.0951192060026327
rate_impaired_per100k,evt_m2,-2,-0.4738551146601293,0.3901544633657202,-1.2385438112644929,0.2908335819442342,0.2245446046043374,0.0951192060026327
rate_impaired_per100k,evt_p0,0,-0.7298088425543978,0.579414590960959,-1.8654405729548849,0.405822887846089,0.2078272605226965,0.0951192060026327
rate_impaired_per100k,evt_p1,1,-0.2201923887429884,0.6146202507805815,-1.424825944441904,0.9844411669559272,0.720150529763238,0.0951192060026327
rate_impaired_per100k,evt_p2,2,-0.6103578379683755,0.619790858454291,-1.825125598485948,0.6044099225491973,0.3247319910081999,0.0951192060026327
rate_impaired_per100k,evt_p3,3,-0.3730868046043152,0.683738544033114,-1.7131897257510724,0.967016116542442,0.5853016526865442,0.0951192060026327
rate_impaired_per100k,evt_p4,4,-0.278458508394831,0.5978016248150839,-1.4501281629319214,0.8932111461422594,0.6413556575579307,0.0951192060026327
rate_impaired_per100k,evt_p5,5,-0.059993057315357,0.4774642145515003,-0.9958057217430027,0.8758196071122887,0.9000095148918985,0.0951192060026327
rate_alcohol_involved_per100k,evt_m5,-5,-0.1600478813190786,0.2658015548182363,-0.6810093557975707,0.3609135931594134,0.547085625420705,0.1972068779419511
rate_alcohol_involved_per100k,evt_m4,-4,-0.01474486566544,0.3073130742070161,-0.6170674230894766,0.5875776917585966,0.9617322224815408,0.1972068779419511
rate_alcohol_involved_per100k,evt_m3,-3,-0.0523767575152102,0.2153376445862994,-0.4744307854200438,0.3696772703896233,0.8078265724190186,0.1972068779419511
rate_alcohol_involved_per100k,evt_m2,-2,0.1654682841525904,0.1793845474272544,-0.1861189681878454,0.5170555364930263,0.3563084081538098,0.1972068779419511
rate_alcohol_involved_per100k,evt_p0,0,-0.1268554750146825,0.1444637503930967,-0.4099992228567363,0.1562882728273711,0.3798824823066709,0.1972068779419511
rate_alcohol_involved_per100k,evt_p1,1,-0.0290679301761335,0.1477994233243492,-0.3187494768276473,0.2606136164753803,0.8440846359373522,0.1972068779419511
rate_alcohol_involved_per100k,evt_p2,2,0.0235215902202666,0.1481847988340076,-0.2669152785507012,0.3139584589912345,0.8738804469124819,0.1972068779419511
rate_alcohol_involved_per100k,evt_p3,3,0.1425496732958027,0.187849944490298,-0.2256294524030298,0.5107287989946353,0.4479431104954863,0.1972068779419511
rate_alcohol_involved_per100k,evt_p4,4,0.1257217835729424,0.1806321249234225,-0.2283106757279056,0.4797542428737904,0.4864225037674131,0.1972068779419511
rate_alcohol_involved_per100k,evt_p5,5,0.3689288662078286,0.178003870222963,0.0200476914620792,0.7178100409535779,0.0382105441476375,0.1972068779419511
