state_abbrev,year,scenario_name,forecast_baseline,forecast_scenario,delta,forecast_interval_low,forecast_interval_high
AK,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.241695273917695,2.216072518628617,-0.025622755289078203,-0.5045429989614707,4.936688036218705
AL,2023,tax_plus_0.10_and_enforcement_plus1_v3,7.3762451649114595,7.361378470103455,-0.01486669480800451,4.640762952513367,10.081993987693544
AR,2023,tax_plus_0.10_and_enforcement_plus1_v3,4.2161461531749564,4.1469533047961,-0.0691928483788562,1.4263377872060126,6.867568822386188
AZ,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.8624474300970133,2.399909811359509,0.5374623812624957,-0.3207057062305787,5.120525328949597
CA,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.271358356074479,2.1088198965350395,-0.16253845953943946,-0.6117956210550481,4.829435414125127
CO,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.1115904983617964,2.708602509298865,0.5970120109370685,-0.01201300829122287,5.429218026888952
CT,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.4411074932046444,2.342964367470145,-0.09814312573449957,-0.3776511501199429,5.063579885060232
DC,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.3314793319294163,1.6311461751921366,0.2996668432627203,-1.0894693423979511,4.351761692782224
DE,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.5293303649841787,2.4467405528638264,-0.08258981212035232,-0.27387496472626127,5.1673560704539145
FL,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.42639355259478,2.3785060566696252,-0.047887495925154955,-0.34210946092046246,5.099121574259713
GA,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.500388048181293,2.480025551805255,-0.020362496376037598,-0.2405899657848325,5.200641069395343
HI,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.2937257594152065,2.3411473559523936,0.04742159653718714,-0.37946816163769403,5.061762873542481
IA,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.7594823143468363,2.482096555040011,-0.2773857593068252,-0.23851896255007654,5.202712072630099
ID,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.5411387899637408,2.2326366513767772,0.6914978614130365,-0.48797886621331044,4.9532521689668645
IL,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.211900929829422,2.2531661483486425,0.0412652185192206,-0.4674493692414452,4.973781665938731
IN,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.785653828958762,3.382761267909511,0.5971074389507489,0.6621457503194232,6.103376785499599
KS,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.61814219278816,2.4396565640141215,-0.1784856287740384,-0.28095895357596623,5.160272081604209
KY,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.0440179985246716,2.189590254153569,0.1455722556288972,-0.5310252634365189,4.910205771743657
LA,2023,tax_plus_0.10_and_enforcement_plus1_v3,3.0406956411924986,3.0143972593028248,-0.026298381889673816,0.2937817417127371,5.735012776892912
MA,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.593261563331937,2.382427983013611,0.7891664196816739,-0.3381875345764769,5.1030435006036985
MD,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.2177905250344807,2.7536338266099465,0.5358433015754658,0.033018309019858805,5.474249344200034
ME,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.263399314720665,2.29268357481183,0.029284260091165137,-0.42793194277825775,5.013299092401917
MI,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.2467953616329144,2.029923639216558,-0.21687172241635633,-0.6906918783735296,4.750539156806646
MN,2023,tax_plus_0.10_and_enforcement_plus1_v3,1.8077858666743376,2.395294014175515,0.5875081475011772,-0.3253215034145729,5.1159095317656025
MO,2023,tax_plus_0.10_and_enforcement_plus1_v3,4.771550156359833,4.761662862180927,-0.009887294178906103,2.0410473445908393,7.482278379771015
MS,2023,tax_plus_0.10_and_enforcement_plus1_v3,8.674033565555083,8.591820105170695,-0.08221346038438782,5.871204587580608,11.312435622760784
MT,2023,tax_plus_0.10_and_enforcement_plus1_v3,2.6494928445919244,3.1011896343968393,0.4516967898049149,0.3805741168067516,5.821805151986927
